skill,lift,base_rate,skill_rate,support
cloud,1.3636363636363638,0.7333333333333333,1.0,7
power_bi,1.3636363636363638,0.7333333333333333,1.0,6
python,1.3636363636363638,0.7333333333333333,1.0,30
r,1.3636363636363638,0.7333333333333333,1.0,5
machine_learning,1.2662337662337664,0.7333333333333333,0.9285714285714286,14
deep_learning,1.2121212121212122,0.7333333333333333,0.8888888888888888,9
tableau,1.1688311688311688,0.7333333333333333,0.8571428571428571,7
tensorflow,1.1688311688311688,0.7333333333333333,0.8571428571428571,7
sql,0.9917355371900828,0.7333333333333333,0.7272727272727273,22
statistics,0.9625668449197863,0.7333333333333333,0.7058823529411765,17
data_analysis,0.5844155844155844,0.7333333333333333,0.42857142857142855,7
excel,0.27272727272727276,0.7333333333333333,0.2,15
communication,0.0,0.7333333333333333,0.0,8
